City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Clyde River,75,CA,1545522081,75,70.47,-68.59,-13.01,12.75
Denpasar,20,ID,1545522082,83,-8.65,115.22,80.6,2.24
Arraial do Cabo,8,BR,1545522083,87,-22.97,-42.02,79.48,8.72
Ushuaia,40,AR,1545522084,71,-54.81,-68.31,53.6,26.4
Pevek,32,RU,1545522085,100,69.7,170.27,-23.89,1.9
Atuona,92,PF,1545522087,100,-9.8,-139.03,79.48,15.66
Albany,90,US,1545522088,66,42.65,-73.75,35.96,21.92
Hithadhoo,0,MV,1545522089,100,-0.6,73.08,82.27,8.28
Lamentin,75,HT,1545522090,83,18.55,-72.41,80.6,11.41
Rikitea,68,PF,1545522091,100,-23.12,-134.97,78.53,17.45
Kodiak,1,US,1545522092,64,39.95,-94.76,37.94,3.36
Hamilton,75,BM,1545522094,77,32.3,-64.78,69.8,12.75
Padang,68,ID,1545522095,100,-0.92,100.36,79.48,5.93
Nikolskoye,75,RU,1545522096,85,59.7,30.79,17.6,11.18
Kapaa,1,US,1545522097,64,22.08,-159.32,80.06,10.29
Esperance,20,TT,1545522098,83,10.24,-61.45,77.0,6.04
Butaritari,76,KI,1545522099,100,3.07,172.79,82.04,5.93
Port Alfred,36,ZA,1545522101,91,-33.59,26.89,73.0,9.84
Tiksi,0,RU,1545522102,69,71.64,128.87,-35.95,6.15
Uva,88,RU,1545522103,79,56.98,52.19,6.71,5.7
San Cristobal,40,EC,1545522104,55,-0.39,-78.55,64.4,6.93
Humboldt,68,CA,1545522105,88,52.21,-105.12,14.9,11.97
Chuy,36,UY,1545522106,96,-33.69,-53.46,66.65,8.5
Klaksvik,8,FO,1545522108,86,62.23,-6.59,39.2,1.12
Agadir,0,MA,1545522109,62,30.42,-9.58,53.6,4.7
Jamestown,0,AU,1545522110,36,-33.21,138.6,72.28,8.16
Mar del Plata,64,AR,1545522111,33,-46.43,-67.52,74.66,12.08
Hobart,75,AU,1545522112,48,-42.88,147.33,64.4,16.11
Portland,75,US,1545522113,60,45.52,-122.67,44.96,9.17
Argelia,40,CO,1545522114,65,4.73,-76.12,77.0,1.34
Port Lincoln,0,AU,1545522116,70,-34.72,135.86,69.8,9.62
Hermanus,0,ZA,1545522117,99,-34.42,19.24,56.84,2.91
Barrow,0,AR,1545522118,45,-38.31,-60.23,72.59,7.27
Yellowknife,90,CA,1545522119,84,62.45,-114.38,1.4,3.36
Chokurdakh,44,RU,1545522120,66,70.62,147.9,-34.96,2.91
San Carlos,0,VE,1545522122,44,9.66,-68.59,80.96,6.6
Pangai,44,TO,1545522123,98,-19.8,-174.35,80.69,19.24
Pushkino,90,RU,1545522124,92,56.01,37.85,17.6,8.95
Hilo,90,US,1545522125,71,19.71,-155.08,78.08,5.82
Katsuura,40,JP,1545522126,100,33.93,134.5,50.0,5.82
Puerto Ayora,90,EC,1545522130,94,-0.74,-90.35,75.2,13.87
Namibe,32,AO,1545522131,100,-15.19,12.15,71.87,2.8
Longyearbyen,75,NO,1545522133,73,78.22,15.63,23.0,17.22
Flinders,90,AU,1545522134,72,-34.58,150.85,64.4,6.93
New Norfolk,75,AU,1545522135,48,-42.78,147.06,64.4,16.11
Antofagasta,20,CL,1545522136,72,-23.65,-70.4,64.4,14.99
Ceyhan,0,TR,1545522137,87,37.03,35.82,48.2,3.36
Cape Town,20,ZA,1545522138,88,-33.93,18.42,69.8,13.87
East London,76,ZA,1545522139,100,-33.02,27.91,74.12,18.79
Salalah,0,OM,1545522140,43,17.01,54.1,69.8,8.05
Saskylakh,12,RU,1545522142,87,71.97,114.09,-40.09,8.5
Bethel,90,US,1545522143,86,60.79,-161.76,1.04,18.34
Narsaq,88,GL,1545522144,80,60.91,-46.05,18.14,2.68
Husavik,88,CA,1545522145,88,50.56,-96.99,19.27,5.82
Khatanga,64,RU,1545522146,81,71.98,102.47,-18.63,18.68
Busselton,0,AU,1545522147,92,-33.64,115.35,69.62,12.19
Batagay-Alyta,24,RU,1545522149,0,67.8,130.41,-48.46,3.02
Bandarbeyla,92,SO,1545522150,100,9.49,50.81,74.39,23.15
Avarua,90,CK,1545522151,78,-21.21,-159.78,82.4,11.41
Coruripe,56,BR,1545522152,98,-10.12,-36.18,79.7,12.97
Dikson,88,RU,1545522153,98,73.51,80.55,6.08,34.56
Fukue,75,JP,1545522154,81,35.03,136.69,51.8,8.05
Milkovo,90,BG,1545522155,100,41.53,24.68,30.2,4.7
Broken Hill,0,AU,1545522156,26,-31.97,141.45,71.6,12.75
Pampa,1,US,1545522158,35,35.54,-100.96,57.02,10.29
Libreville,40,GA,1545522159,83,0.39,9.45,82.4,4.7
Jalu,8,LY,1545522160,81,29.03,21.55,40.64,2.91
Talnakh,48,RU,1545522161,53,69.49,88.39,-31.45,5.93
Saint-Philippe,90,CA,1545522162,74,45.36,-73.48,28.4,17.22
Saint-Joseph,0,FR,1545522163,71,43.56,6.97,57.2,18.34
Vaini,32,IN,1545522164,89,15.34,74.49,69.17,2.91
Pangnirtung,68,CA,1545522165,74,66.15,-65.72,2.8,4.7
Kuytun,64,RU,1545522167,73,54.34,101.51,7.25,3.13
Itamaraca,40,BR,1545522168,83,-7.75,-34.83,78.8,11.41
Magadi,40,IN,1545522169,100,12.96,77.22,68.0,4.7
Bubaque,0,GW,1545522170,100,11.28,-15.83,79.93,6.82
Tuatapere,0,NZ,1545522171,89,-46.13,167.69,57.47,3.69
Upernavik,32,GL,1545522172,100,72.79,-56.15,-2.02,10.63
Filadelfia,76,PY,1545522174,62,-22.35,-60.04,83.03,6.38
Punta Arenas,0,CL,1545522175,35,-53.16,-70.91,55.4,31.09
Chihuahua,75,MX,1545522176,22,28.66,-106.08,69.8,3.36
Gornopravdinsk,0,RU,1545522177,75,60.06,69.92,-16.83,5.93
Nelson Bay,75,AU,1545522178,60,-32.72,152.14,71.6,17.22
Tallahassee,75,US,1545522179,75,30.44,-84.28,51.08,3.36
Lompoc,1,US,1545522180,65,34.64,-120.46,68.0,12.75
Ballina,92,IE,1545522181,100,54.11,-9.15,44.2,5.48
Bilma,0,NE,1545522182,58,18.69,12.92,47.53,3.58
Thunder Bay,90,CA,1545522184,85,48.41,-89.26,21.2,10.29
Lebedinyy,56,RU,1545522185,52,58.52,125.52,-11.29,3.47
Najran,0,SA,1545522186,53,17.54,44.22,51.8,2.01
Mataura,0,NZ,1545522187,73,-46.19,168.86,61.79,3.8
Suez,0,EG,1545522188,81,29.97,32.54,39.97,3.02
Provideniya,36,RU,1545522189,100,64.42,-173.23,4.64,7.61
Lebu,20,ET,1545522190,76,8.96,38.73,53.6,9.17
La Ronge,75,CA,1545522192,78,55.1,-105.3,10.4,6.93
Naze,36,NG,1545522193,58,5.43,7.07,80.96,6.93
Hami,0,CN,1545522194,54,42.84,93.51,-11.83,0.45
Araouane,0,ML,1545522195,35,18.9,-3.53,54.68,10.63
Sheltozero,68,RU,1545522196,87,61.37,35.37,12.25,13.2
Faanui,8,PF,1545522197,98,-16.48,-151.75,84.29,17.45
Okha,48,RU,1545522198,94,53.59,142.95,8.78,9.28
Bafoulabe,0,ML,1545522200,40,13.81,-10.83,68.5,8.95
Port Hueneme,75,US,1545522201,77,34.15,-119.2,62.96,6.93
Marion,20,US,1545522202,44,35.21,-90.2,55.04,10.29
Lata,0,IN,1545522203,50,30.78,78.62,23.18,2.35
Isla Mujeres,40,MX,1545522204,60,21.23,-86.73,73.4,2.24
Oistins,88,BB,1545522205,100,13.07,-59.53,79.61,17.45
Maniitsoq,92,GL,1545522206,95,65.42,-52.9,32.45,21.92
Cherskiy,76,RU,1545522207,42,68.75,161.3,-26.68,3.58
Gat,8,SN,1545522209,38,14.69,-16.54,75.2,10.29
Dunedin,0,NZ,1545522210,79,-45.87,170.5,56.53,6.71
Placerville,1,US,1545522211,81,38.73,-120.8,53.6,3.36
Salinas,1,US,1545522212,63,36.67,-121.66,64.04,9.17
Diapaga,0,BF,1545522213,55,12.07,1.79,58.6,4.59
Alofi,68,NU,1545522214,74,-19.06,-169.92,86.0,18.34
Parsabad,80,AZ,1545522215,93,39.65,47.92,42.8,2.24
Saint George,40,GR,1545522216,100,39.45,22.34,41.0,3.91
Sitka,88,US,1545522217,40,37.17,-99.65,47.48,11.97
Grindavik,75,IS,1545522218,100,63.84,-22.43,32.0,5.82
Buraydah,40,SA,1545522220,87,26.33,43.97,53.6,5.82
Guane,8,CU,1545522221,66,22.2,-84.09,69.67,6.38
Sweetwater,1,US,1545522222,26,32.47,-100.41,66.2,3.13
Raudeberg,92,NO,1545522223,100,61.99,5.14,33.8,9.17
Georgetown,75,GY,1545522224,74,6.8,-58.16,80.6,9.17
Champerico,5,MX,1545522225,34,16.38,-93.6,80.6,2.13
Prince Rupert,90,CA,1545522226,52,54.32,-130.32,44.6,9.17
Bluff,64,AU,1545522227,90,-23.58,149.07,76.82,11.97
Bermejo,8,AR,1545522229,82,-22.73,-64.34,71.87,1.57
Carnarvon,0,ZA,1545522230,27,-30.97,22.13,68.32,11.41
Manzanillo,76,CU,1545522231,99,20.34,-77.12,79.79,19.24
Henties Bay,12,NA,1545522232,98,-22.12,14.28,61.79,3.36
Isangel,48,VU,1545522233,100,-19.55,169.27,79.57,8.72
Kjollefjord,64,NO,1545522234,100,70.95,27.35,10.4,5.14
Itarema,48,BR,1545522235,85,-2.92,-39.92,79.03,9.73
Tasiilaq,48,GL,1545522236,85,65.61,-37.64,23.0,2.24
Puerto del Rosario,0,ES,1545522237,77,28.5,-13.86,66.2,5.82
